"gene","component_1","component_2","component_3","component_4","component_5","component_6","component_7","component_8","component_9"
"CDK4",0.187518438551888,0.1314326496302,0.197412009713254,0.384481322753145,0.63612691074299,0.328020380291528,0.653778343429482,0.550037825592622,0.406155278282157
"STOML2",0.120122221053546,0.0232164427955216,0.123923596008248,0.166386762551689,0.0844506558986425,0.0973777337476621,0.0807179205336492,-0.0208842851416414,0.00441643225527119
"PLIN3",0.13098332295392,-0.248446223008656,-0.430789011224358,-0.278048130298997,-0.171311623736459,-0.34286231968461,-0.329560607893123,-0.0190157041121604,0.011085305595156
"COBLL1",-0.125491567567603,-0.0270948433699362,-0.225765519264581,-0.0475660734884822,0.0412149108226852,-0.242490188776902,-0.317241221260801,-0.164053268863971,0.1291054367974
"PPCS",0.13153534279196,0.194911506627276,0.0970274107539234,0.0889304322721261,0.167382395842016,0.20501001408215,0.208361472408775,-0.0801796372682259,-0.0888654256718929
"CRYL1",-0.105371907369514,0.159162522513101,0.146923645315401,0.315965551062496,0.162376157674379,-0.120052457356916,-0.147306456316192,0.113452838598751,0.162420094208694
"SORD",-0.125619706065605,0.0568190403279603,-0.164332583097861,0.00756192683274503,-0.0107751014261335,0.0778673229455733,0.339445882217421,0.339192500200002,0.236017724668041
"PSMB2",0.173812661867024,0.110955462319721,-0.0182092706990212,-0.054504013324393,-0.0659366353384983,0.17803627860891,0.141417837120568,-0.0957744485420578,0.234402791244884
"HPN",-0.0895860118546136,-0.0804765766872597,-0.223116725976063,-0.100127451826258,-0.276297550701271,-0.264615235981593,-0.157688705567156,-0.026347026820961,-0.126660272176124
"ADH1A",-0.107778963325063,0.178842570881832,0.208080059204448,0.385876267607042,0.348798256384614,0.151606754880104,-0.0756910965877371,-0.128759630175854,0.0552719761811247
"EIF2S2",0.173124547737813,-0.0809994993804861,-0.0533361544319367,0.0631138722145587,-0.18984449312971,-0.332948224788334,-0.141748487702182,-0.122946819872405,-0.151165427889178
"EEF1E1",0.175871151915222,-0.0871008361733292,0.0514623470627089,0.190710573412281,0.279261392608403,0.137637761102244,0.0233167031674208,-0.0699559949754819,-0.257661387022049
"AKR1B10",0.115592507521374,0.120884491136841,0.0703206715905269,0.0907547712200978,0.0127264058786606,0.0577696502056803,-0.0232243311627431,0.286506407735557,0.10227916709249
"C8B",-0.0900159885102633,0.0801078031359407,-0.0752293749272928,0.18130213018967,0.166023739923509,0.219643439467711,0.25703708887467,0.106433288054835,-0.0838320905257667
"PHLDA2",0.156727997801905,0.0565458230447337,0.28942639704749,0.27726022354114,0.342107712100425,0.154272341024605,-0.103038954218529,-0.0270001167583672,-0.292536472127207
"SNRPF",0.110829796159825,-0.237474163020534,-0.144532144951923,-0.0256934705915899,-0.250889397816245,-0.299934884378288,-0.126254645631523,-0.290832151942674,-0.0959543208383593
"RTN3",0.215520826536705,0.338850932883378,0.340683906972614,0.162322462502172,0.160810900275683,0.0957580478133756,0.188964954225303,0.0363108447921536,-0.0135073330261853
"ANXA2",0.141657471543962,-0.303784880125707,-0.441473738133939,-0.196842684475425,-0.0385203272812436,0.199079941984268,-0.0515363405213966,0.0677132562679815,0.125693174476326
