"metaprogram","rank","gene","normalized_weight"
"MP3",112,"ETS2",0.00472219257874078
"MP3",113,"CEBPD",0.00471030202580013
"MP3",114,"TAGLN2",0.00468019904569376
"MP3",115,"LPP",0.0046547022182948
"MP3",116,"SOD2",0.00465254859214709
"MP3",117,"NUPR1",0.00463125728312308
"MP3",118,"TSC22D1",0.00462142819615338
"MP3",119,"HDDC2",0.00462074080588296
"MP3",120,"CES2",0.00461951244383871
"MP3",121,"HSPA5",0.00461689519159263
"MP3",122,"ZFP36L2",0.00459965844416573
"MP3",123,"DST",0.00459825840964919
"MP3",124,"DDX21",0.00459083105686837
"MP3",125,"CHCHD10",0.00458980494958492
"MP3",126,"BTG1",0.00458137323880741
"MP3",127,"HMGB3",0.00453165042569407
"MP3",128,"SPTBN1",0.00452351223927106
"MP3",129,"SAE1",0.0045035406572835
"MP3",130,"RPL4",0.00450098623895231
"MP3",131,"MPC2",0.00447276387295015
"MP3",132,"EPB41L4A-AS1",0.00445799154051319
"MP3",133,"BTG2",0.00445552424400553
"MP3",134,"NR2F2",0.0044546600263337
"MP3",135,"BCL2L1",0.0044340688525366
"MP3",136,"TPM4",0.00440653128992359
"MP3",137,"ANP32E",0.00440453122652931
"MP3",138,"DDX39A",0.00438224922221615
"MP3",139,"PPIH",0.00437856088495313
"MP3",140,"ANP32B",0.0043782706342319
"MP3",141,"IER2",0.0043694712214561
"MP3",142,"HERPUD1",0.00436662811347173
"MP3",143,"PTGR1",0.00427444983120596
"MP3",144,"PLPP1",0.00425696571670861
"MP3",145,"SMC4",0.00424229088259345
"MP3",146,"UGDH",0.00422338577562744
"MP3",147,"CFL1",0.00421781642045097
"MP3",148,"HLA-DRB1",0.00421002373765478
"MP3",149,"GFPT1",0.00419071442625499
"MP3",150,"FUNDC2",0.0041880935426626
"MP3",151,"YWHAH",0.00417794451603803
"MP3",152,"TUBB",0.00417047729410761
"MP3",153,"HIST1H1C",0.00416539753447009
"MP3",154,"PRDX1",0.00415136473830689
"MP3",155,"LAPTM5",0.004148986559874
"MP3",156,"VTN",0.00414608695199777
"MP3",157,"ERRFI1",0.00414135849703023
"MP3",158,"TUBA1C",0.00413671665290639
"MP3",159,"KLF9",0.00412299300012419
"MP3",160,"PRAP1",0.00409574300383375
"MP3",161,"GPI",0.00409140897447287
"MP3",162,"IL6ST",0.00407325660618699
"MP3",163,"AHCYL1",0.00406140300678814
"MP3",164,"EEF1B2",0.00405515985770116
"MP3",165,"PSMB8",0.00405118185338809
"MP3",166,"CHCHD2",0.00403537496577706
"MP3",167,"S100A16",0.0040278747839168
"MP3",168,"GADD45B",0.00401157870787486
"MP3",169,"HLA-C",0.00400976975151485
"MP3",170,"HLA-B",0.00399099226375625
"MP3",171,"ALDOA",0.00399040904151472
"MP3",172,"S100A10",0.0039877059124426
"MP3",173,"ATP5G3",0.0039611079137456
"MP3",174,"MARCKSL1",0.00395391555550999
"MP3",175,"DEK",0.00395227829140341
"MP3",176,"ZFP36L1",0.00394427272942857
"MP3",177,"PPP1R16A",0.00394326068979298
"MP3",178,"ZBTB16",0.00393417115659185
"MP3",179,"TYMP",0.00392953821609181
"MP3",180,"CALR",0.00391963847762671
"MP3",181,"ENO1",0.0039023275327127
"MP3",182,"KPNB1",0.00389787858828907
"MP3",183,"CAV2",0.00389588132626222
"MP3",184,"ENAH",0.00387976479614377
"MP3",185,"ADI1",0.00386945170594061
"MP3",186,"RHOU",0.00385884936547628
"MP3",187,"HLA-A",0.00385544518313471
"MP4",1,"EGR1",0.0355908396708079
"MP4",2,"FOSB",0.0353897431564582
"MP4",3,"HES1",0.030060422683343
"MP4",4,"ATF3",0.0286160200025662
"MP4",5,"KLF6",0.0283746963743231
"MP4",6,"CXCL2",0.026706294881472
"MP4",7,"CYR61",0.0258940737765661
"MP4",8,"ZFP36",0.020499578516915
"MP4",9,"JUN",0.0187662145009265
"MP4",10,"SDC4",0.0183211509096779
"MP4",11,"TRIB1",0.018235838759327
"MP4",12,"FOS",0.0175544093177724
"MP4",13,"KLF10",0.0175525277418132
"MP4",14,"RHOB",0.0167521282198453
"MP4",15,"DUSP1",0.0166603364711319
"MP4",16,"IER2",0.0151634911993524
"MP4",17,"BTG2",0.0144436527318822
"MP4",18,"LDLR",0.0139322432323224
"MP4",19,"JUND",0.0134066613988192
"MP4",20,"NFKBIA",0.0130398897145162
"MP4",21,"JUNB",0.0126224492295499
"MP4",22,"NEAT1",0.0126037305896597
"MP4",23,"C8orf4",0.0125816873507583
"MP4",24,"PPP1R15A",0.0121593066540261
"MP4",25,"HERPUD1",0.0119661552524925
"MP4",26,"ELMSAN1",0.0117437709638503
"MP4",27,"ZC3H12A",0.0115531554000759
"MP4",28,"NEDD9",0.0115406582733505
"MP4",29,"TNFAIP3",0.0115130456988541
"MP4",30,"CXCL1",0.0111747245068378
"MP4",31,"NFKBIZ",0.0110951557455293
"MP4",32,"CCL20",0.0104569003737016
"MP4",33,"CEBPD",0.0103451781578404
"MP4",34,"THBS1",0.0101434393937078
"MP4",35,"ERRFI1",0.00992720369380951
"MP4",36,"DUSP10",0.00981339467531962
"MP4",37,"PDK4",0.00944510286046831
"MP4",38,"INSR",0.00938937379752333
"MP4",39,"CXCL3",0.00907510114989854
"MP4",40,"MAFF",0.0088882755679932
"MP4",41,"FAM46A",0.00874209270772945
"MP4",42,"WEE1",0.00865755697116159
"MP4",43,"MDM4",0.00848346246146016
"MP4",44,"RASD1",0.00844495024330524
"MP4",45,"CTGF",0.00844185717697638
"MP4",46,"IER3",0.00829610819426364
"MP4",47,"DDIT3",0.00809667624855362
"MP4",48,"ETS2",0.00793569548642078
"MP4",49,"TRA2A",0.00788443292405409
"MP4",50,"SETD5",0.00775604155492778
"MP4",51,"ATP1B1",0.00772471149411795
"MP4",52,"ADM",0.0076374729167976
"MP4",53,"SOX4",0.00758110618352011
"MP4",54,"NR4A1",0.00741750836233761
"MP4",55,"KLF4",0.00733113890270549
"MP4",56,"ZNF281",0.00718177174549612
"MP4",57,"PCK1",0.00699661042986749
"MP4",58,"FOXO3",0.00697049101182623
"MP4",59,"BIRC3",0.00679533309932174
"MP4",60,"C3",0.00676345375173843
"MP4",61,"ELF3",0.00675268359742533
"MP4",62,"HIST1H4C",0.00670755727519925
"MP4",63,"HSPA1B",0.00663823441091541
"MP4",64,"HNRNPH1",0.0065044471026957
"MP4",65,"CSRNP1",0.00631769652958917
"MP4",66,"CXCL8",0.0062430619839496
"MP4",67,"SLC38A2",0.00612575173162672
"MP4",68,"PER2",0.00603411648370721
"MP4",69,"FGA",0.00601346497517408
"MP4",70,"GDF15",0.0059997322958243
"MP4",71,"TP53INP1",0.00593184893954003
"MP4",72,"HMGCS1",0.00591581647082503
"MP4",73,"RP11-138A9.2",0.00589192442093883
"MP4",74,"PDGFA",0.00579931044639464
"MP4",75,"REL",0.00575736724922182
"MP4",76,"HSPA1A",0.00575499780160101
"MP4",77,"MT-ND5",0.00572343445065507
"MP4",78,"RND1",0.00571366723332974
"MP4",79,"SERTAD1",0.00568843979863157
"MP4",80,"APOC2",0.00567567529687491
"MP4",81,"PPP1R15B",0.0056754831967434
"MP4",82,"ORM1",0.00567134661542587
"MP4",83,"ZFP36L1",0.00558886766400794
"MP4",84,"DNAJB1",0.00558536028599392
"MP4",85,"RP11-138A9.1",0.00552967684541511
"MP4",86,"TOR1AIP2",0.00552383001253468
"MP4",87,"RND3",0.00549055122479387
"MP4",88,"PHLDA1",0.0054784745714401
"MP4",89,"KCNQ1OT1",0.00535211539107508
"MP4",90,"KDM6B",0.00521303453664927
"MP4",91,"HSPH1",0.0051372101714778
"MP4",92,"NCOA7",0.00512943678898922
"MP4",93,"MLXIPL",0.00512544643955955
"MP4",94,"GADD45B",0.00509786410969433
"MP4",95,"TNFRSF12A",0.00507557919041411
"MP5",1,"SORBS2",0.0171702879065483
"MP5",2,"CPS1",0.0158870962052724
